episode,steps,total_reward,success,collisions,epsilon
1,136,-19.59311600428765,False,1,0.99
2,262,1025.4625802931605,True,0,0.9801
3,74,-62.7181890527725,False,1,0.9702989999999999
4,139,-15.182772110597824,False,1,0.96059601
5,83,-68.40549184840421,False,1,0.9509900498999999
6,249,234.37110922278913,False,1,0.9414801494009999
7,92,-52.66546802229837,False,1,0.9320653479069899
8,358,1142.9814437534194,True,0,0.92274469442792
9,377,644.0239341941036,False,1,0.9135172474836407
10,195,126.60576683634918,False,1,0.9043820750088043
11,73,-85.41353359818469,False,1,0.8953382542587163
12,369,1060.7963072987184,True,0,0.8863848717161291
13,339,1196.0412446040914,True,0,0.8775210229989678
14,196,844.9933125960954,True,0,0.8687458127689781
15,236,944.0149476562136,True,0,0.8600583546412883
16,387,843.6173610132278,False,1,0.8514577710948754
17,273,108.13875390457659,False,1,0.8429431933839266
18,426,853.6651094336022,False,1,0.8345137614500874
19,263,378.9930402905926,False,1,0.8261686238355865
20,243,277.05460227684773,False,1,0.8179069375972307
21,194,825.3476321379159,True,0,0.8097278682212583
22,225,876.3663988412504,True,0,0.8016305895390458
23,276,1000.7534951195425,True,0,0.7936142836436553
24,224,960.7641206673126,True,0,0.7856781408072188
25,231,849.5662853985539,True,0,0.7778213593991465
26,175,813.858864537352,True,0,0.7700431458051551
27,275,1013.6402788612631,True,0,0.7623427143471035
28,295,677.413358775247,False,1,0.7547192872036325
29,208,837.3829479771507,True,0,0.7471720943315961
30,171,826.9257874374078,True,0,0.7397003733882802
31,194,847.2402345835184,True,0,0.7323033696543974
32,228,425.96675626141996,False,1,0.7249803359578534
33,276,944.0386964731475,True,0,0.7177305325982748
34,186,860.0495735860669,True,0,0.7105532272722921
35,186,822.3846228520588,True,0,0.7034476949995692
36,235,937.9412681440001,True,0,0.6964132180495735
37,159,-12.935783305992118,False,1,0.6894490858690777
38,316,1142.0926204876262,True,0,0.682554595010387
39,188,797.5377777482815,True,0,0.6757290490602831
40,307,926.6529806335889,True,0,0.6689717585696803
41,326,1164.5520354783373,True,0,0.6622820409839835
42,198,821.0359568543398,True,0,0.6556592205741436
43,273,1024.3131880685978,True,0,0.6491026283684022
44,263,923.0650710314189,True,0,0.6426116020847181
45,236,926.6301999361076,True,0,0.6361854860638709
46,284,502.9202235191949,False,1,0.6298236312032323
47,122,-28.42985692954047,False,1,0.6235253948912
48,184,813.6090463183724,True,0,0.617290140942288
49,175,838.9932347990672,True,0,0.6111172395328651
50,175,831.3484214376566,True,0,0.6050060671375365
51,147,714.7495779555634,True,0,0.5989560064661611
52,262,960.6621143528178,True,0,0.5929664464014994
53,155,729.0173693494504,True,0,0.5870367819374844
54,147,727.0958766705895,True,0,0.5811664141181095
55,153,722.9027576464307,True,0,0.5753547499769285
56,155,760.4901469069001,True,0,0.5696012024771592
57,157,769.1617187147216,True,0,0.5639051904523876
58,189,773.6639094804832,True,0,0.5582661385478638
59,180,790.1404424465343,True,0,0.5526834771623851
60,223,808.8907160870642,True,0,0.5471566423907612
61,130,693.3245287019774,True,0,0.5416850759668536
62,146,709.1269831152481,True,0,0.536268225207185
63,154,757.2708368068506,True,0,0.5309055429551132
64,122,682.7952259750382,True,0,0.525596487525562
65,141,739.8064422964351,True,0,0.5203405226503064
66,158,777.158710319711,True,0,0.5151371174238033
67,149,730.3325157444187,True,0,0.5099857462495653
68,225,804.9476934700042,True,0,0.5048858887870696
69,165,747.085473929709,True,0,0.4998370298991989
70,225,894.5856380797255,True,0,0.49483865960020695
71,160,762.8337666120426,True,0,0.4898902730042049
72,133,692.5183152146753,True,0,0.48499137027416284
73,134,707.7557956648345,True,0,0.4801414565714212
74,153,684.2801561105891,True,0,0.475340042005707
75,137,725.559326888631,True,0,0.47058664158564995
76,150,726.6563837376807,True,0,0.4658807751697934
77,112,640.1150437551987,True,0,0.4612219674180955
78,367,1296.3326049767265,True,0,0.45660974774391455
79,194,832.822335192795,True,0,0.4520436502664754
80,146,715.1671707494138,True,0,0.44752321376381066
81,224,743.1606409325441,True,0,0.44304798162617254
82,126,668.9794665015586,True,0,0.4386175018099108
83,127,678.8419789371162,True,0,0.4342313267918117
84,142,736.415146515387,True,0,0.4298890135238936
85,175,789.1295921150361,True,0,0.42559012338865465
86,144,738.6982943537971,True,0,0.4213342221547681
87,138,717.1613230143922,True,0,0.41712087993322045
88,128,715.5618237708157,True,0,0.41294967113388825
89,148,766.1960072315396,True,0,0.40882017442254937
90,161,797.6101711881633,True,0,0.4047319726783239
91,132,700.7262127892254,True,0,0.40068465295154065
92,167,844.2312197797204,True,0,0.39667780642202527
93,127,679.300225200056,True,0,0.392711028357805
94,186,846.0949980028463,True,0,0.38878391807422696
95,180,812.7189282216248,True,0,0.3848960788934847
96,175,843.8513508267629,True,0,0.38104711810454983
97,155,767.3254843095267,True,0,0.37723664692350434
98,116,662.2517266783818,True,0,0.37346428045426927
99,151,765.810398973544,True,0,0.36972963764972655
100,125,684.0020630637401,True,0,0.36603234127322926
101,156,790.4783823135034,True,0,0.36237201786049694
