episode,steps,total_reward,success,collisions,epsilon
1,318,693.6121170171064,False,1,0.99
2,213,862.3546880702106,True,0,0.9801
3,68,-88.39695198476433,False,1,0.9702989999999999
4,308,578.5109422859333,False,1,0.96059601
5,309,1104.3737458485025,True,0,0.9509900498999999
6,296,995.8899502004549,True,0,0.9414801494009999
7,359,505.83076793937494,False,1,0.9320653479069899
8,367,771.013920540278,False,1,0.92274469442792
9,217,905.6672080616183,True,0,0.9135172474836407
10,205,884.7987698937017,True,0,0.9043820750088043
11,293,1016.5769666335792,True,0,0.8953382542587163
12,300,1075.1755593894788,True,0,0.8863848717161291
13,256,991.6348198311165,True,0,0.8775210229989678
14,385,928.7400683970702,False,1,0.8687458127689781
15,340,551.4273508502632,False,1,0.8600583546412883
16,232,932.0424765288772,True,0,0.8514577710948754
17,159,36.15152261467935,False,1,0.8429431933839266
18,159,-14.782885917186562,False,1,0.8345137614500874
19,80,-82.78721198099062,False,1,0.8261686238355865
20,188,817.8512069002849,True,0,0.8179069375972307
21,178,815.5806410603989,True,0,0.8097278682212583
22,286,1020.5895840282553,True,0,0.8016305895390458
23,214,851.2090486912139,True,0,0.7936142836436553
24,106,-65.26941031176257,False,1,0.7856781408072188
25,211,870.5685388053156,True,0,0.7778213593991465
26,286,1050.2362799994016,True,0,0.7700431458051551
27,285,921.4791772630374,True,0,0.7623427143471035
28,272,972.1721880801796,True,0,0.7547192872036325
29,329,1119.0432132656833,True,0,0.7471720943315961
30,269,1003.1081996774902,True,0,0.7397003733882802
31,305,669.7703446665254,False,1,0.7323033696543974
32,190,100.17896065515365,False,1,0.7249803359578534
33,100,-46.59217285145218,False,1,0.7177305325982748
34,98,-57.858730513731075,False,1,0.7105532272722921
35,77,-72.57161822438368,False,1,0.7034476949995692
36,72,-69.27017138512312,False,1,0.6964132180495735
37,314,717.8225138062943,False,1,0.6894490858690777
38,223,236.72780790937964,False,1,0.682554595010387
39,292,1065.4839162645944,True,0,0.6757290490602831
40,172,829.5876022906072,True,0,0.6689717585696803
41,170,786.0394201723686,True,0,0.6622820409839835
42,229,934.0098484633792,True,0,0.6556592205741436
43,319,1127.3750637815876,True,0,0.6491026283684022
44,132,694.8759659914833,True,0,0.6426116020847181
45,173,832.650423503037,True,0,0.6361854860638709
46,171,810.7637223995512,True,0,0.6298236312032323
47,174,818.7460876837976,True,0,0.6235253948912
48,285,1025.09928178344,True,0,0.617290140942288
49,153,771.58513757217,True,0,0.6111172395328651
